Strain1,Strain2,Distance
A/THAILAND/16/04,A/duck/HUNAN/15/04,2
A/THAILAND/16/04,A/ANHUI/1/05,32
A/THAILAND/16/04,A/GUANGXI/1/05,11.3137085
A/INDONESIA/5/05,A/INDONESIA/CDC357/06,1.414213562
A/INDONESIA/5/05,A/INDONESIA/CDC625/06*,5.656854249
A/INDONESIA/5/05,A/TURKEY/15/05,11.3137085
A/INDONESIA/5/05,A/w.swan/MG/244/05_RG,11.3137085
A/INDONESIA/5/05,A/b-h_gs/QINGHAI/1/05,5.656854249
A/INDONESIA/5/05,A/turkey/TURKEY/1/05,5.656854249
A/INDONESIA/5/05,A/duck/HUNAN/15/04,8
A/INDONESIA/5/05,A/ANHUI/1/05,32
A/INDONESIA/5/05,A/GUANGXI/1/05,11.3137085
A/INDONESIA/CDC357/06,A/INDONESIA/CDC625/06*,16
A/INDONESIA/CDC357/06,A/TURKEY/15/05,16
A/INDONESIA/CDC357/06,A/w.swan/MG/244/05_RG,8
A/INDONESIA/CDC357/06,A/b-h_gs/QINGHAI/1/05,5.656854249
A/INDONESIA/CDC357/06,A/duck/HUNAN/15/04,16
A/INDONESIA/CDC357/06,A/ANHUI/1/05,64
A/INDONESIA/CDC357/06,A/GUANGXI/1/05,32
A/INDONESIA/CDC625/06*,A/TURKEY/15/05,4
A/INDONESIA/CDC625/06*,A/w.swan/MG/244/05_RG,4
A/INDONESIA/CDC625/06*,A/b-h_gs/QINGHAI/1/05,2.828427125
A/INDONESIA/CDC625/06*,A/duck/HUNAN/15/04,16
A/INDONESIA/CDC625/06*,A/ANHUI/1/05,32
A/INDONESIA/CDC625/06*,A/GUANGXI/1/05,32
A/TURKEY/15/05,A/w.swan/MG/244/05_RG,1
A/TURKEY/15/05,A/b-h_gs/QINGHAI/1/05,1.414213562
A/TURKEY/15/05,A/duck/HUNAN/15/04,32
A/TURKEY/15/05,A/ANHUI/1/05,32
A/TURKEY/15/05,A/GUANGXI/1/05,22.627417
A/w.swan/MG/244/05_RG,A/b-h_gs/QINGHAI/1/05,0.356348323
A/w.swan/MG/244/05_RG,A/turkey/TURKEY/1/05,1.414213562
A/w.swan/MG/244/05_RG,A/duck/HUNAN/15/04,22.627417
A/w.swan/MG/244/05_RG,A/ANHUI/1/05,45.254834
A/w.swan/MG/244/05_RG,A/GUANGXI/1/05,32
A/b-h_gs/QINGHAI/1/05,A/turkey/TURKEY/1/05,2
A/b-h_gs/QINGHAI/1/05,A/duck/HUNAN/15/04,8
A/b-h_gs/QINGHAI/1/05,A/ANHUI/1/05,16
A/b-h_gs/QINGHAI/1/05,A/GUANGXI/1/05,8
A/duck/HUNAN/15/04,A/ANHUI/1/05,2
A/ANHUI/1/05,A/GUANGXI/1/05,1.414213562
A/np/Washington/40964/2014,A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,1.414213562
A/np/Washington/40964/2014,A/mallard/Korea/W452/2014,2.828427125
A/np/Washington/40964/2014,A/duck/England/36254/2014,1.414213562
A/np/Washington/40964/2014,A/chicken/Kumamoto/1-7/2014,4
A/np/Washington/40964/2014,A/Sichuan/2622120/2014_RG42A,1.414213562
A/np/Washington/40964/2014,A/o.magpie_robin/HK/6154/2015,45.254834
A/np/Washington/40964/2014,A/ck/VN/NCVD-15A59/2015,2.828427125
A/np/Washington/40964/2014,A/tf.dk/Denmark/11740-1wp1/2016,4
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/mallard/Korea/W452/2014,1
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/duck/England/36254/2014,2
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/chicken/Kumamoto/1-7/2014,2
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/Sichuan/2622120/2014_RG42A,2
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/o.magpie_robin/HK/6154/2015,32
