Strain1,Strain2,Distance
A/SOLOMON_ISLANDS/03/2006_EGG_PASSAGE,A/SOUTH_DAKOTA/06/2007,4.0
A/SOLOMON_ISLANDS/03/2006_EGG_PASSAGE,A/FUKUSHIMA/141/2006,2.82842712475
A/SOLOMON_ISLANDS/03/2006_EGG_PASSAGE,A/HONG_KONG/2652/2006,4.0
A/SOLOMON_ISLANDS/03/2006_EGG_PASSAGE,A/CAMBODIA/0371/2007,5.65685424949
A/BRISBANE/59/2007,A/FUKUSHIMA/141/2006,1.41421356237
A/BRISBANE/59/2007,A/CAMBODIA/0371/2007,2.82842712475
A/SOUTH_DAKOTA/06/2007,A/FUKUSHIMA/141/2006,1.0
A/SOUTH_DAKOTA/06/2007,A/CAMBODIA/0371/2007,2.82842712475
A/FUKUSHIMA/141/2006,A/HONG_KONG/2652/2006,2.0
A/FUKUSHIMA/141/2006,A/CAMBODIA/0371/2007,2.0
A/HONG_KONG/2652/2006,A/CAMBODIA/0371/2007,0.707106781187
A/FLORIDA/03/2006,A/SOLOMON_ISLANDS/03/2006,22.627416998
A/FLORIDA/03/2006,A/BRISBANE/59/2007,22.627416998
A/FLORIDA/03/2006,A/BRISBANE/59/2007_IVR-148,32.0
A/FLORIDA/03/2006,A/SOUTH_DAKOTA/06/2007,22.627416998
A/FLORIDA/03/2006,A/HONG_KONG/2652/2006,32.0
A/FLORIDA/03/2006,A/PERTH/200/2008,45.2548339959
A/FLORIDA/03/2006,A/HONG_KONG/1870/2008,32.0
A/SOLOMON_ISLANDS/03/2006,A/BRISBANE/59/2007_IVR-148,2.0
A/BRISBANE/59/2007,A/BRISBANE/59/2007_IVR-148,1.41421356237
A/BRISBANE/59/2007_IVR-148,A/SOUTH_DAKOTA/06/2007,1.0
A/BRISBANE/59/2007_IVR-148,A/HONG_KONG/2652/2006,2.0
A/BRISBANE/59/2007_IVR-148,A/PERTH/200/2008,2.0
A/BRISBANE/59/2007_IVR-148,A/HONG_KONG/1870/2008,2.0
A/TEXAS/36/91,A/JOHANNESBURG/82/96,5.65685424949
